ITE,PR,CATEGORY,ITEM,ITEM,QUANTITY,RPRT,AVERAGE,RECENT,ADJUSTMENTS,
LOC,CA,DESCRIPTION,NUMBER,DESCRIPTION,ON HAND,UOM,COST,COST,QUANTITY,COST/TON
550 ,WI,WAREHOUSE ITEMS (BAG,B21325,REFRSH CLSUP21 PEL 50#,1750,LB,0.27466,0.2748,0,549.32
550 ,WI,WAREHOUSE ITEMS (BAG,B21335,REFRSH CLSUP32 PEL 50#,2000,LB,0.34758,0.35171,0,695.16
550 ,WI,WAREHOUSE ITEMS (BAG,B23825,"HOMEFRESH EXTRAEGG PEL, 5",2500,LB,0.23114,0.22577,0,462.28
550 ,WI,WAREHOUSE ITEMS (BAG,B23845,"HOMEFRESH EXTRAEGG ML, 50",3150,LB,0.2279,0.22057,0,455.8
550 ,WI,WAREHOUSE ITEMS (BAG,B23925,"HOMEFRESH MF STR/GRW CRM,",1600,LB,0.27001,0.26857,0,540.02
550 ,WI,WAREHOUSE ITEMS (BAG,B24645,BYB ALL STOCK 14%,2450,LB,0.21103,0.20811,0,422.06
550 ,WI,WAREHOUSE ITEMS (BAG,B3035,HUTCH EXTRA 17 PELS,250,LB,0.23852,0.23808,0,477.04
550 ,WI,WAREHOUSE ITEMS (BAG,B3042,BUNNY 16 PELS,200,LB,0.2582,0.25587,0,516.4
550 ,WI,WAREHOUSE ITEMS (BAG,B4015,RIDER 12,400,LB,0.2364,0.23066,0,472.8
550 ,WI,WAREHOUSE ITEMS (BAG,B40445,REFRESH CLOSEUP21 RU PL,3550,LB,0.2131,0.209,0,426.2
550 ,WI,WAREHOUSE ITEMS (BAG,B40675,RUMENSIN 2400 MEAL 50#,1600,LB,0.2679,0.266,0,535.8
550 ,WI,WAREHOUSE ITEMS (BAG,B40685,AUREO S 700 2.0G CRM 50#,3200,LB,0.6426,0.64275,0,1285.2
550 ,WI,WAREHOUSE ITEMS (BAG,B4075,REGULAR OATS,2800,LB,0.20935,0.20257,0,418.7
550 ,WI,WAREHOUSE ITEMS (BAG,B4080,NUTRACOR LCFA 50# BAG,19800,LB,0.75,0.75,0,1500
550 ,WI,WAREHOUSE ITEMS (BAG,B40835,X-P YEAST CULTURE 50#,3000,LB,0.4405,0.4405,0,881
550 ,WI,WAREHOUSE ITEMS (BAG,B4085,CRIMPED OATS,400,LB,0.23165,0.20863,0,463.3
550 ,WI,WAREHOUSE ITEMS (BAG,B40895,DRY STOCK 50#,1000,LB,0.165,0.165,0,330
550 ,WI,WAREHOUSE ITEMS (BAG,B40905,DICAL 21% 50#,300,LB,0.3647,0.383,0,729.4
550 ,WI,WAREHOUSE ITEMS (BAG,B40975,TOP-CARE 50#,650,LB,0.41598,0.41599,0,831.96
550 ,WI,WAREHOUSE ITEMS (BAG,B41005,UREA 50#,350,LB,0.31926,0.318,0,638.52
550 ,WI,WAREHOUSE ITEMS (BAG,B41025,AUREOMYCIN 20G 50#,100,LB,0.7672,0.7672,0,1534.4
550 ,WI,WAREHOUSE ITEMS (BAG,B41055,OYSTER SHELLS 50#,100,LB,0.2169,0.21691,0,433.8
550 ,WI,WAREHOUSE ITEMS (BAG,B41735,POTASSIUM MAG SUL 50#,450,LB,0.28976,0.28975,0,579.52
550 ,WI,WAREHOUSE ITEMS (BAG,B41835,A & H BICARB 50#,5200,LB,0.21848,0.21671,0,436.96
550 ,WI,WAREHOUSE ITEMS (BAG,B43720,SALT-FINE GR (LOW) 50#,600,LB,0.12407,0.12276,0,248.14
550 ,WI,WAREHOUSE ITEMS (BAG,B4395,AG & GARDEN LIME,4500,LB,0.06877,0.06876,0,137.54
550 ,WI,WAREHOUSE ITEMS (BAG,B5485,FAST START MEAL,300,LB,0.8663,0.86368,0,1732.6
550 ,WI,WAREHOUSE ITEMS (BAG,B70325,DYNASTY GROW PELLETS,400,LB,0.2139,0.2139,0,427.8
550 ,WI,WAREHOUSE ITEMS (BAG,B7075,CALF BT FLAKES,3900,LB,0.22463,0.217,0,449.26
550 ,WI,WAREHOUSE ITEMS (BAG,B7335,NATURAL 40 PELS,4500,LB,0.30759,0.3124,0,615.18
550 ,WI,WAREHOUSE ITEMS (BAG,B8145,PORK MAKER MASH,1700,LB,0.21224,0.21224,0,424.48
550 ,WI,WAREHOUSE ITEMS (BAG,B8285,LLAMA/ALPACA PELLETS,450,LB,0.23544,0.2346,0,470.88
550 ,WI,WAREHOUSE ITEMS (BAG,B8405,CAPRINE CHALLENGER,250,LB,0.24892,0.24828,0,497.84
550 ,WI,WAREHOUSE ITEMS (BAG,B8785,HOG PELLET,2100,LB,0.18949,0.18844,0,378.98
550 ,WI,WAREHOUSE ITEMS (BAG,B9015,WHOLE CORN,2400,LB,0.1809,0.17844,0,361.8
550 ,WI,WAREHOUSE ITEMS (BAG,B9045,CORN MEAL,700,LB,0.21073,0.21061,0,421.46
550 ,WI,WAREHOUSE ITEMS (BAG,B9055,STEAMED FLAKED CORN,4250,LB,0.20346,0.20184,0,406.92
550 ,WI,WAREHOUSE ITEMS (BAG,B9175,48% SOYBEAN MEAL BAGGED,3000,LB,0.33973,0.34907,0,679.46
550 ,WI,WAREHOUSE ITEMS (BAG,B9255,SODIUM BICARBONATE,21600,LB,0.21786,0.23433,0,435.72
550 ,WI,WAREHOUSE ITEMS (BAG,B9305,MAG OXIDE,850,LB,0.25387,0.25276,0,507.74
560 ,06 ,MILL INGREDIENTS,0004 ,LYSINE,238.6192,LB,0.98156,0.94272,0,1963.12
560 ,06 ,MILL INGREDIENTS,0017 ,LOKETO-AID PREMIX,1177.3273,LB,0.63541,0.6045,0,1270.82
560 ,06 ,MILL INGREDIENTS,0051 ,VEGETABLE OIL,268.85,LB,0.41027,0.41028,0,820.54
560 ,06 ,MILL INGREDIENTS,0052 ,CALCIUM SULFATE,8626.9419,LB,0.1191,0.12408,0,238.2
560 ,06 ,MILL INGREDIENTS,0053 ,POTASSIUM CHLORIDE,3552.5799,LB,0.38133,0.38158,0,762.66
560 ,06 ,MILL INGREDIENTS,0055 ,MAGNESIUM SULFATE,1643.0365,LB,0.25135,0.24912,0,502.7
560 ,06 ,MILL INGREDIENTS,0086 ,YEAST CULTURE XP - SACK,3982.1714,LB,0.42001,0.42658,0,840.02
560 ,06 ,MILL INGREDIENTS,0102 ,STEAMED FLAKED CORN,1.4,LB,0.2,0.19842,0,400
560 ,06 ,MILL INGREDIENTS,0129 ,MOLASSES,119079.4385,LB,0.13889,0.13836,0,277.78
560 ,06 ,MILL INGREDIENTS,0130 ,TALLOW,16260.076,LB,0.47566,0.475,0,951.32
560 ,06 ,MILL INGREDIENTS,0132 ,CALCIUM CARBONATE,59597.031,LB,0.03437,0.034,0,68.74
560 ,06 ,MILL INGREDIENTS,0133 ,UREA - SACKED,9026.7848,LB,0.28349,0.28158,0,566.98
